eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw,matrix_hermitian,matrix_symmetric,matrix_real,matrix_trace_real,matrix_frobenius_norm
0.0,fixed_delta0,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,4.0,0.6666666666666665,-6.0420300659872555e-18,82302.91941969184,0.6651859562238807,1.1046472390728075,0.04972198529522188,0.0,0.0,9.443866504468254e-16,86395.18396883158,31989.38193550322,54405.802033328364,-5.568334908813846e-12,78210.65487055208,23122.964595471014,55087.69027508106,4.380423461600226e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,4.0,0.6666666666666665,0.042196097855445536,82773.5951499489,0.6647011215433969,1.103699375229587,0.049293818523033855,0.0,0.0,1.0351163190939978e-15,86853.82172776957,32155.585895398814,54651.84705687737,46.388775493388366,78693.36857212825,23275.9634212579,55387.55600382284,29.84914704752024,True,True,True,0.0,2.0
0.0,fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,-6.0420300659872555e-18,61077.49272846766,0.582254035574249,1.2371527335453383,0.10600650102664622,0.0,0.0,1.3270864623711207e-15,67552.10402409294,31255.54338878417,36296.56063530877,8.306099572313987e-13,54602.881432842376,19774.20882033686,34828.67261250552,2.7957681521336187e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.010853377724034474,65554.6052028331,0.609728577948799,1.2518607455621078,0.11184561303733664,0.0,0.0,1.6619812756362027e-15,72886.60020916455,31957.565468059758,40919.830073581135,9.204667523648075,58222.61019650166,19194.90002331289,39021.2023430556,6.507830133163445,True,True,True,0.0,2.0
0.0,fixed_delta0,tau0_sigma0,tauz_sigmaz,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,-6.0420300659872555e-18,61077.49272846766,0.582254035574249,1.2371527335453383,0.10600650102664622,0.0,0.0,1.3270864623711207e-15,67552.10402409294,31255.54338878417,36296.56063530877,8.306099572313987e-13,54602.881432842376,19774.20882033686,34828.67261250552,2.7957681521336187e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,tauz_sigmaz,tr_sewn,7,3,6,196,1.0,-4.0,-1.3333333333333335,0.01085337772403446,61081.849131633186,0.582314255364681,1.2383810687795174,0.10649708939394098,0.0,0.0,1.340108167623542e-15,67586.88827895194,31250.199827322234,36331.41687612083,5.271575508872785,54576.80998431443,19761.38914738564,34806.2461106487,9.174726280092296,True,True,True,0.0,2.0
0.0,fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,-6.0420300659872555e-18,84272.932417637,0.70812973521174,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,tauz_sigmaz,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,0.010853377724034474,90723.57698303935,0.7288233030760117,1.00580541339407,0.002894305377432643,0.0,0.0,1.2177975245139053e-15,90986.1587197613,26683.892967489686,64309.91682973073,-7.651077459142545,90460.99524631743,22551.726263251585,67932.9972575684,-23.728274502543783,True,True,True,0.0,2.0
0.0,fixed_delta0,tau0_sigma0,tauz_sigmaz,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,-6.0420300659872555e-18,84272.932417637,0.70812973521174,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,tauz_sigmaz,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,0.01085337772403446,84365.17005581359,0.7085672546261481,1.0197070877211358,0.009757398902516893,0.0,0.0,1.7005273551891633e-15,85188.35467352683,26787.895693809245,58402.06584881073,-1.6068690931363618,83541.98543810034,22420.328903203845,61154.728016221175,-33.0714813246781,True,True,True,0.0,2.0
