m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
tau0_sigmaz,fixed_delta0,2.0,0.0,1.0,85951.42475477903,86430.36151549427,0.005572179426712953,0.5572179426712953,-6.0420300659872555e-18,0.042196097855445536,0.7275329265712619,0.7272454433506085,0.004925550839806493,0.004572001270171713,0.0,0.0,1.338317255616398e-15
tau0_sigmaz,fixed_delta0,4.0,0.0,1.0,82302.91941969184,82773.5951499489,0.005718821805784646,0.5718821805784646,-6.0420300659872555e-18,0.042196097855445536,0.6651859562238807,0.6647011215433969,0.04972198529522188,0.049293818523033855,0.0,0.0,1.0351163190939978e-15
tau0_sigmaz,fixed_frobenius_norm,-4.0,0.0,1.0,61077.49272846766,65536.95337678686,0.0730131583518765,7.3013158351876495,-6.0420300659872555e-18,0.042196097855445536,0.582254035574249,0.6101394808895428,0.10600650102664622,0.11135549474258907,0.0,0.0,1.3270864623711207e-15
tau0_sigmaz,fixed_frobenius_norm,0.0,0.0,1.0,84272.932417637,90779.3566827103,0.07720657248319052,7.720657248319052,-6.0420300659872555e-18,0.042196097855445536,0.70812973521174,0.7287637185768154,0.009135594829326509,0.002247869714805485,0.0,0.0,1.3595598093756558e-15
tau0_sigmaz,fixed_frobenius_norm,2.0,0.0,1.0,85951.42475477903,93737.55384641705,0.09058755121107054,9.058755121107055,-6.0420300659872555e-18,0.042196097855445536,0.7275329265712619,0.7489242209055501,0.004925550839806493,0.0020287674345951185,0.0,0.0,1.4553428547927875e-15
tau0_sigmaz,fixed_frobenius_norm,4.0,0.0,1.0,82302.91941969184,89141.04753796491,0.08308487920583985,8.308487920583985,-6.0420300659872555e-18,0.042196097855445536,0.6651859562238807,0.6878051267272224,0.04972198529522188,0.06305464888195171,0.0,0.0,1.2619091149939695e-15
taux_sigma0,fixed_delta0,-4.0,0.0,1.0,61077.49272846766,61838.53703193016,0.012460306889902517,1.2460306889902517,-6.0420300659872555e-18,0.04881135363161161,0.582254035574249,0.5842352774721062,0.10600650102664622,0.1161431830294336,0.0,0.0,1.4926737670049012e-15
taux_sigma0,fixed_delta0,0.0,0.0,1.0,84272.932417637,84460.8977824589,0.002230435792721419,0.2230435792721419,-6.0420300659872555e-18,0.04881135363161161,0.70812973521174,0.7069936130257667,0.009135594829326509,0.012812851788446197,0.0,0.0,1.4185199084184061e-15
taux_sigma0,fixed_delta0,2.0,0.0,1.0,85951.42475477903,84695.25225235069,-0.01461491192277753,-1.461491192277753,-6.0420300659872555e-18,0.04881135363161161,0.7275329265712619,0.7350694450964799,0.004925550839806493,0.0026672826357327624,0.0,0.0,1.349431728376919e-15
taux_sigma0,fixed_delta0,4.0,0.0,1.0,82302.91941969184,82756.95541610703,0.005516645091286465,0.5516645091286465,-6.0420300659872555e-18,0.04881135363161161,0.6651859562238807,0.6577943089676745,0.04972198529522188,0.049779242984918065,0.0,0.0,1.3642653001788636e-15
taux_sigma0,fixed_frobenius_norm,-4.0,0.0,1.0,61077.49272846766,65894.37960490011,0.07886517047854102,7.8865170478541025,-6.0420300659872555e-18,0.04881135363161157,0.582254035574249,0.616366808292208,0.10600650102664622,0.11671340420596528,0.0,0.0,1.362963396965808e-15
taux_sigma0,fixed_frobenius_norm,0.0,0.0,1.0,84272.932417637,90268.55470484695,0.07114529084495413,7.114529084495413,-6.0420300659872555e-18,0.04881135363161157,0.70812973521174,0.730525764276459,0.009135594829326509,0.0031982321956628593,0.0,0.0,1.5869699052214428e-15
taux_sigma0,fixed_frobenius_norm,2.0,0.0,1.0,85951.42475477903,91587.01579207365,0.06556716253829498,6.556716253829498,-6.0420300659872555e-18,0.04881135363161157,0.7275329265712619,0.7575384749155487,0.004925550839806493,-0.0008656949741352323,0.0,0.0,1.5482605304533654e-15
taux_sigma0,fixed_frobenius_norm,4.0,0.0,1.0,82302.91941969184,89315.78412441163,0.08520797019311921,8.520797019311921,-6.0420300659872555e-18,0.04881135363161157,0.6651859562238807,0.6781551104233814,0.04972198529522188,0.06551070899290255,0.0,0.0,1.4165652729629686e-15
taux_sigmax,fixed_delta0,-4.0,0.0,1.0,61077.49272846766,62852.605466982626,0.029063287623913858,2.906328762391386,-6.0420300659872555e-18,0.10824164708279772,0.582254035574249,0.5708294461880161,0.10600650102664622,0.12517105363009468,0.0,0.0,1.3270864623711207e-15
