nk,n_keep,n_shell,m0,m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
9,6,2,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,88085.36995240927,88060.22864451542,-0.0002854197911348333,-0.02854197911348333,3.655055225103387e-18,0.08890033094954645,0.868046208620479,0.8649859546564252,0.026773939422080336,0.026169865347495953,0.0,0.0,1.7445000832209146e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,93446.78911521618,93443.02479989063,-4.028298201774749e-05,-0.004028298201774749,3.655055225103387e-18,0.08890033094954645,0.8535133405038411,0.8536165173343485,0.057622299688502146,0.05968482428314947,0.0,0.0,1.4854722060124498e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,94573.23978196821,94659.1718929168,0.0009086302969709692,0.09086302969709692,3.655055225103387e-18,0.08890033094954645,0.8486250202136316,0.8474290382347214,0.06164633925767988,0.06094040021010957,0.0,0.0,1.4208479863054297e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_delta0,4.0,0.0,1.0,90938.90656502183,90772.85784502671,-0.0018259370633227912,-0.18259370633227912,3.655055225103387e-18,0.08890033094954645,0.8612916549431571,0.865104528952008,0.027055949387372775,0.02545329480491739,0.0,0.0,1.4632469359744815e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,85965.9224345891,87387.89132142824,0.01654107635407631,1.6541076354076312,3.655055225103387e-18,0.08890033094954648,0.8861795649145141,0.8912918751596113,-0.0022069046153763076,0.0010927041201119583,0.0,0.0,1.3937189050455986e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-2.0,0.0,1.0,88085.36995240927,89183.13958852552,0.012462564858493064,1.2462564858493064,3.655055225103387e-18,0.08890033094954648,0.868046208620479,0.8776843773943881,0.026773939422080336,0.02025518912437291,0.0,0.0,1.5232643906483305e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,93446.78911521618,96854.68555945862,0.036468844745865425,3.6468844745865425,3.655055225103387e-18,0.08890033094954648,0.8535133405038411,0.8542619039686279,0.057622299688502146,0.06376014844124128,0.0,0.0,1.9178649202181755e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,94573.23978196821,97763.45882054829,0.03373278789999046,3.3732787899990457,3.655055225103387e-18,0.08890033094954648,0.8486250202136316,0.8496781797849099,0.06164633925767988,0.06472419349061395,0.0,0.0,1.618190521408715e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,90938.90656502183,92930.50396070917,0.02190038863358601,2.190038863358601,3.655055225103387e-18,0.08890033094954648,0.8612916549431571,0.8648860780297359,0.027055949387372775,0.026800679185266983,0.0,0.0,1.7553902445523483e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,60859.24969255264,60442.94541088508,-0.006840443872881186,-0.6840443872881186,1.8275276125516916e-18,0.10729542571944178,0.6029396962811328,0.6026583840085215,0.06607370223390714,0.07075390141209671,0.0,0.0,2.130877602734928e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,78932.93204937385,78545.93701677557,-0.004902833615203939,-0.49028336152039387,1.8275276125516916e-18,0.10729542571944178,0.6714651289378224,0.6881987680552537,0.08949429071031262,0.0918006958852507,0.0,0.0,1.6284314729617732e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,83311.42938123674,84172.29406190346,0.01033309219467804,1.033309219467804,1.8275276125516916e-18,0.10729542571944178,0.7190800160357849,0.7124795797682557,0.039824984867604205,0.05267579476099836,0.0,0.0,1.6709632427389906e-15
9,6,3,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,82650.97528292186,82412.24884106594,-0.002888368117118234,-0.2888368117118234,1.8275276125516916e-18,0.10729542571944178,0.7683654334590646,0.7712435397504774,0.026881602537038207,0.025491614154611732,0.0,0.0,1.5667408592394475e-15
